index,titulo,resumo,URL
43,Helicóptero da PM pousa no meio da Rodovia Ayrton Senna interditada para resgatar vítima de acidente,"De acordo com o Corpo de Bombeiros, houve um acidente envolvendo um carro e uma moto. O motociclista foi socorrido após ter uma parada cardíaca.",https://g1.globo.com/sp/sao-paulo/noticia/2025/02/20/helicoptero-da-pm-pousa-no-meio-da-rodovia-ayrton-senna-interditada-para-resgatar-vitima-de-acidente.ghtml
44,"Após devolução de corpos de reféns, Netanyahu promete eliminar o Hamas","Israelenses ficaram em luto após devolução dos corpos de quatro reféns, entre eles a mãe e dois filhos da família Bibas, símbolo do sofrimento dos reféns mantidos em Gaza.",https://g1.globo.com/mundo/noticia/2025/02/20/apos-devolucao-de-corpos-de-refens-netanyahu-promete-eliminar-o-hamas.ghtml
45,Uber passa a permitir que motoristas bloqueiem passageiros,"Além das notas baixas, nova ferramenta permite que motoristas da plataforma não recebam mais chamados de passageiros indesejados.",https://g1.globo.com/carros/noticia/2025/02/20/uber-passa-a-permitir-que-motoristas-bloqueiem-passageiros.ghtml
46,Corpo de mulher encontrada morta em carro submerso por enchente é velado na Zona Norte de SP,"Janaina de Souza Maia, de 47 anos, era motorista de aplicativo e estava dentro do próprio carro, na Avenida General Edgar Facó, na Zona Norte de São Paulo.",https://g1.globo.com/sp/sao-paulo/noticia/2025/02/20/corpo-mulher-encontrada-morta-em-carro-submerso-por-enchente-velorio-enterro-sp.ghtml
47,'Revisão da vida toda do INSS': Toffoli leva tema ao plenário físico e adia análise de recursos no STF,"Tribunal já derrubou revisão da vida toda, mas ainda julga recursos. Regra permitiria que segurado do INSS escolhesse a regra mais vantajosa para calcular o valor da aposentadoria.",https://g1.globo.com/politica/noticia/2025/02/20/revisao-da-vida-toda-do-inss-toffoli-leva-tema-ao-plenario-fisico-e-adia-analise-no-stf-de-novos-recursos.ghtml
48,"Número de blocos do carnaval de rua cai para 601, diz prefeitura; inicialmente, 767 estavam inscritos",Estrutura para a folia foi anunciada pelo prefeito Ricardo Nunes e o presidente da SPTuris.,https://g1.globo.com/sp/sao-paulo/carnaval/2025/noticia/2025/02/20/carnaval-2025-sao-paulo-tem-601-blocos-de-rua-confirmados-diz-prefeitura.ghtml
49,Planos de Gusttavo Lima no mercado latino de língua hispânica se chocam com ambições na política do Brasil,"Com carreira gerenciada pelo ex-empresário de Roberto Carlos, cantor pretende gravar e lançar, ao longo do ano, o primeiro álbum com músicas em espanhol.",https://g1.globo.com/pop-arte/musica/blog/mauro-ferreira/post/2025/02/20/planos-de-gusttavo-lima-no-mercado-latino-de-lingua-hispanica-se-chocam-com-ambicoes-na-politica-do-brasil.ghtml
50,Natura estuda possível venda da operação Avon fora da América Latina; entenda relação entre as marcas,"Tratativas vem sendo realizadas, com exclusividade, com a gestora IG4, mas ainda estão em estágio inicial.",https://g1.globo.com/economia/negocios/noticia/2025/02/20/natura-estuda-possivel-venda-da-operacao-avon-fora-da-america-latina.ghtml
51,Moraes concede aos acusados por golpe acesso a dados sigilosos e avisa que vídeos da delação de Cid estão públicos,"O pedido para que ações ainda sob sigilo fossem abertas aos acusados partiu do procurador-geral, Paulo Gonet.",https://g1.globo.com/politica/blog/daniela-lima/post/2025/02/20/moraes-acesso-provas-acusados-sigilo.ghtml
52,"Aliados se dividem sobre o impacto da denúncia contra Bolsonaro; uma ala o vê como vítima, outra como 'rei posto'","Integrantes de partido que apoiaram o ex-presidente acreditam que a denúncia pode aglutinar solidariedade, mas há quem preveja a aceleração da escolha de um ""herdeiro"" político, diante da robustez da acusação.",https://g1.globo.com/politica/blog/daniela-lima/post/2025/02/20/aliados-se-dividem-sobre-o-impacto-da-denuncia-no-futuro-de-bolsonaro-enquanto-uma-ala-o-ve-como-vitima-outra-ja-o-considera-um-rei-posto.ghtml
53,Justiça da Espanha condena Luis Rubiales por beijo forçado em jogadora Jenni Hermoso; pena prevê multa,Justiça entendeu que beijo do ex-presidente da Federação Espanhola de Futebol na final da Copa do Mundo feminina ocorreu sem consentimento. Tribunal absolveu o ex-dirigente da acusação de coerção.,https://g1.globo.com/mundo/noticia/2025/02/20/justica-da-espanha-considera-luis-rubiales-culpado-por-beijo-forcado-em-jogadora-jenni-hermoso.ghtml
54,"Bolsonaro diz não ter influenciado ação violenta no 8 de janeiro, mas PGR aponta que partiu dele ordem para não retirar acampamentos","Ex-presidente contava com apoio de seus seguidores para convencer Forças Armadas a aderir ao golpe. Fato, inclusive, citado pelo ex-ajudante de ordens de Bolsonaro, Mauro Cid, em delação.",https://g1.globo.com/politica/blog/valdo-cruz/post/2025/02/20/bolsonaro-diz-nao-ter-influenciado-acao-violenta-no-8-de-janeiro-mas-pgr-aponta-que-partiu-dele-ordem-para-nao-desmobilizar-acampamentos.ghtml
55,"TJ suspende despejo da Eataly Brasil de prédio no Itaim Bibi, Zona Sul de SP","Desembargador considerou que empresa passa por processo de recuperação judicial e que o despejo comprometeria as chances de se recuperar economicamente, além de comprometer contratos de trabalho.",https://g1.globo.com/sp/sao-paulo/noticia/2025/02/20/tj-suspende-despejo-da-eataly-brasil-de-predio-no-itaim-bibi-zona-sul-de-sp.ghtml
56,Israel recebe corpos de família morta em cativeiro em luto; VEJA IMAGENS,"Três dos restos mortais devolvidos nesta quinta são da família Bibas, símbolo em Israel do sofrimento dos reféns mantidos em Gaza: Shiri Bibas, de origem argentina, dos filhos dela Kfir Bibas, de oito meses, e Ariel Bibas, de 4 anos.",https://g1.globo.com/mundo/noticia/2025/02/20/israel-fica-de-luto-apos-confirmacao-da-morte-de-familia-de-refens-com-devolucao-dos-corpos-fotos.ghtml
57,"Em 1ª audiência de julgamento criminal, presidente afastado da Coreia do Sul diz que queria impedir ditadura no país",Yoon Suk Yeol foi indiciado por insurreição e deu depoimento à Justiça nesta quinta-feira (20). Yoon sofreu impeachment em dezembro após tentativa falha de impor lei marcial.,https://g1.globo.com/mundo/noticia/2025/02/20/presidente-afastado-coreia-do-sul-diz-que-queria-impedir-ditadura-julgamento-insurreicao.ghtml
58,PM é morto a tiros em casa noturna em Nova Iguaçu,Assassino fugiu do local antes da chegada da polícia. Caso é investigado pela Delegacia de Homicídios da Baixada Fluminense (DHBF).,https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/02/20/pm-e-morto-a-tiros-em-nova-iguacu.ghtml
59,Polícia prende 47 em operação contra suspeitos de movimentar R$ 80 milhões com tráfico de drogas e armas na BA e em mais sete estados,"Ação, que cumpre mandados judiciais expedidos pela Justiça de Itabuna, no sul da Bahia, conta com apoio das polícias do Rio de Janeiro, Rondônia, São Paulo, Sergipe, Espírito Santo, Paraná e Santa Catarina.",https://g1.globo.com/ba/bahia/noticia/2025/02/20/operacao-investiga-suspeitos-de-trafico-de-drogas-e-lavagem-de-dinheiro-na-bahia-e-em-sete-estados.ghtml
60,"Prefeitura de SP nega recurso da UPBus e Transwolff, suspeitas de ligação com o PCC, e contrato com empresas de ônibus será rompido","Juntas, as companhias atendiam a mais de 600 mil passageiros por dia. Reportagem tenta contato com as empresas.",https://g1.globo.com/sp/sao-paulo/noticia/2025/02/20/prefeitura-de-sp-nega-ultimo-recurso-da-upbus-e-transwolff-empresas-de-onibus-suspeitas-de-ligacao-com-o-pcc-contra-rompimento-de-contrato.ghtml
61,Testemunha de confusão na UniRio diz que jovem baleado mantinha um ‘relacionamento abusivo’ com estudante,"Segundo a PM, policiais foram socorrer uma mulher agredida pelo ex-companheiro, que tentou tomar a arma de um agente quando levou um tiro de ‘contenção’. Agressor está interno em estado grave.",https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/02/20/homem-e-baleado-por-pms-dentro-do-campus-da-unirio.ghtml
62,"Sequestrado mais novo, símbolo dos reféns: quem era a família Bibas, que Hamas devolveu a Israel em caixões pretos","Grupo terrorista informou que libertará outros seis reféns vivos no sábado (22). Para próxima fase do cessar-fogo, Hamas diz estar disposto a liberar de uma vez todos os reféns restantes.",https://g1.globo.com/mundo/noticia/2025/02/20/quem-era-a-familia-bibas-que-hamas-devolveu-a-israel-em-caixoes-pretos.ghtml
63,Trump está em campanha para ganhar o Nobel da Paz?,"Presidente americano sempre deixou claro desejo de receber a honraria; apesar de ser considerado um político controverso, analistas não descartam chance caso consiga paz duradoura na Ucrânia ou no Oriente Médio.",https://g1.globo.com/mundo/noticia/2025/02/20/trump-esta-em-campanha-para-ganhar-o-nobel-da-paz.ghtml
64,"Carrega-se de tudo: motorista leva pilha de colchões no teto de carro, e carona de moto viaja com caixa d’água na cabeça","Condutas são consideradas infrações de trânsito grave que prevê multa de R$ 195,23.",https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/02/20/motorista-leva-pilha-de-colchoes-no-teto-de-carro-e-carona-de-moto-viaja-com-caixa-dagua-na-cabeca.ghtml
65,"Prefeitura de SP nega recurso da UPBus e Transwolff, suspeitas de ligação com o PCC, e contrato com empresas de ônibus será rompido","Juntas, as companhias atendiam a mais de 600 mil passageiros por dia. Reportagem tenta contato com as empresas.",https://g1.globo.com/sp/sao-paulo/noticia/2025/02/20/prefeitura-de-sp-nega-ultimo-recurso-da-upbus-e-transwolff-empresas-de-onibus-suspeitas-de-ligacao-com-o-pcc-contra-rompimento-de-contrato.ghtml
66,Testemunha de confusão na UniRio diz que jovem baleado mantinha um ‘relacionamento abusivo’ com estudante,"Segundo a PM, policiais foram socorrer uma mulher agredida pelo ex-companheiro, que tentou tomar a arma de um agente quando levou um tiro de ‘contenção’. Agressor está interno em estado grave.",https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/02/20/homem-e-baleado-por-pms-dentro-do-campus-da-unirio.ghtml
67,"Sequestrado mais novo, símbolo dos reféns: quem era a família Bibas, que Hamas devolveu a Israel em caixões pretos","Grupo terrorista informou que libertará outros seis reféns vivos no sábado (22). Para próxima fase do cessar-fogo, Hamas diz estar disposto a liberar de uma vez todos os reféns restantes.",https://g1.globo.com/mundo/noticia/2025/02/20/quem-era-a-familia-bibas-que-hamas-devolveu-a-israel-em-caixoes-pretos.ghtml
68,Trump está em campanha para ganhar o Nobel da Paz?,"Presidente americano sempre deixou claro desejo de receber a honraria; apesar de ser considerado um político controverso, analistas não descartam chance caso consiga paz duradoura na Ucrânia ou no Oriente Médio.",https://g1.globo.com/mundo/noticia/2025/02/20/trump-esta-em-campanha-para-ganhar-o-nobel-da-paz.ghtml
69,"Carrega-se de tudo: motorista leva pilha de colchões no teto de carro, e carona de moto viaja com caixa d’água na cabeça","Condutas são consideradas infrações de trânsito grave que prevê multa de R$ 195,23.",https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/02/20/motorista-leva-pilha-de-colchoes-no-teto-de-carro-e-carona-de-moto-viaja-com-caixa-dagua-na-cabeca.ghtml
